plz,x,z,power_kw,year
59227,-0.620123,-0.208724,4200.0,2025
57299,-0.56539,0.14129,3450.0,2025
25557,-0.252646,-0.986854,4200.0,2025
52353,-0.958491,0.114639,5700.0,2025
52353,-0.963492,0.111767,5700.0,2025
55430,-0.660916,0.365283,5700.0,2025
55430,-0.665916,0.362411,5700.0,2025
31162,-0.101313,-0.302924,4200.0,2025
23758,0.102114,-1.051723,4260.0,2025
25557,-0.251025,-0.984393,4200.0,2025
23818,-0.020486,-0.914229,6800.0,2025
28857,-0.382502,-0.582155,7000.0,2025
18233,0.298224,-0.952124,4260.0,2025
06895,0.572697,-0.234255,6600.0,2025
06895,0.563067,-0.247966,6600.0,2025
38312,0.029675,-0.3011,6800.0,2025
24610,-0.064726,-0.969054,5700.0,2025
88048,-0.229857,1.157502,3.0,2024
24610,-0.064292,-0.950932,5700.0,2025
24610,-0.073922,-0.964643,4800.0,2025
67551,-0.509334,0.519638,1.0,2025
79117,-0.614195,1.070318,4260.0,2025
24622,-0.151835,-0.989834,5600.0,2025
24622,-0.150214,-0.987373,5600.0,2025
24622,-0.155215,-0.990245,5600.0,2025
24622,-0.148539,-0.993353,5600.0,2025
47652,-1.025471,-0.154017,4200.0,2025
47652,-1.02385,-0.151556,4200.0,2025
47652,-1.028851,-0.154428,4200.0,2025
23818,-0.013809,-0.917337,6800.0,2025
54320,-0.884462,0.476498,5560.0,2025
23818,-0.017939,-0.907244,6800.0,2025
33178,-0.412236,-0.171287,5560.0,2025
33178,-0.416365,-0.161194,4260.0,2025
15848,0.891904,-0.327009,5560.0,2025
15848,0.880598,-0.325048,5560.0,2025
15848,0.888549,-0.337996,5560.0,2025
38312,0.031296,-0.298639,6800.0,2025
38312,0.026295,-0.301511,6800.0,2025
27404,-0.281358,-0.710765,6000.0,2025
49377,-0.519879,-0.523983,4200.0,2025
49377,-0.518258,-0.521522,4200.0,2025
06917,0.605665,-0.216926,6600.0,2025
46354,-0.860513,-0.260356,5700.0,2025
46354,-0.858892,-0.257895,5700.0,2025
46354,-0.863893,-0.260767,5700.0,2025
04769,0.621427,-0.023826,1.0,2024
